"","","","",[]
各務原SS / 河田商事(株),"",岐阜県各務原市那加信長町2-95,0583823158,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
各務原駅前SS / (株)飯沼石油店,"",岐阜県各務原市鵜沼各務原町1-155,0583841351,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:セルフサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
駄知SS / 丸久石油店,"",岐阜県土岐市駄知町1865-9,0572-59-5310,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
"","","","",[]
セルフサントピア19SS / 石黒商事(株),"",岐阜県土岐市泉郷町4-49,0572-54-3326,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""営業時間:24時間営業"", ""サービスタイプ:セルフサービス"", ""車検サービス:あり"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥169   \r\n\t\t\t\t\tハイオク¥181   \r\n\t\t\t\t\t軽油¥147   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
ハートランド蘇原SS / (有)小林石油,"",岐阜県各務原市蘇原東島町3-150,0583833453,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
可児広見SS / 則竹石油(株),"",岐阜県可児市広見3-16-1,0574-61-0505,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:セルフサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
美山SS / (有)谷合昭石,"",岐阜県山県市田栗79-7,0581-55-2198,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
長良町SS / (株)油茂商店,"",岐阜県岐阜市松風町1-34,0582320590,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
高鷲SS / (有)まるや石油店,"",岐阜県郡上市高鷲町大鷲41-5,0575-72-5031,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
リブレ神岡SS / 清水商事(株),"",岐阜県飛騨市神岡町梨ケ根58,0578820873,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:セルフサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
桜丘SS / 河田商事(株),"",岐阜県各務原市那加不動丘1-10,0583713300,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
美江寺SS / (有)林石油店,"",岐阜県瑞穂市美江寺798-1,058-328-2111,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
根尾SS / 根尾昭石(株),"",岐阜県本巣市根尾板所643-2-1,0581-38-2575,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
海津町SS / 割田屋,"",岐阜県海津市海津町高須町1018,0584-53-0010,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
リブレ古川SS / 清水商事(株),"",岐阜県飛騨市古川町高野376-1,0577733611,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""営業時間:24時間営業"", ""サービスタイプ:セルフサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥171   \r\n\t\t\t\t\tハイオク¥183   \r\n\t\t\t\t\t軽油¥148   \r\n\t\t\t\t\t灯油¥1908\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥169   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
大和SS / (有)畑中石油店,"",岐阜県郡上市大和町徳永711-1,0575-88-2126,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
岐大バイパスSS / (株)種田石油店,"",岐阜県瑞穂市牛牧1181-1,058-326-6656,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥160   \r\n\t\t\t\t\tハイオク¥171   \r\n\t\t\t\t\t軽油¥142   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
郡上八幡SS / (有)小野石油店,"",岐阜県郡上市八幡町小野2-4,0575-65-3616,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
白鳥南SS / (資)富士商事,"",岐阜県郡上市白鳥町白鳥41-2,0575822533,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
"","","","",[]
昭洋笠原SS / 昭洋商事(株),"",岐阜県多治見市笠原町神戸2029,0572-43-2256,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
萩原SS / 富士石油,"",岐阜県下呂市萩原町上村672-3,05765-2-3244,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
養老中央SS / 高田石油(株),"",岐阜県養老郡養老町押越923-5,0584-32-0188,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
揖斐SS / 小森石油店,"",岐阜県揖斐郡大野町中之元825-3,05853-2-2747,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
谷汲SS / (株)高正,"",岐阜県揖斐郡揖斐川町谷汲徳積1367-1,0585-55-2528,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
【東海北陸道】ひるがの高原SA下り店 / エネクスフリート(株),"",岐阜県郡上市高鷲町鷲見5415-3,0575-73-2790,"[""ジャンル:SA/PA/ハイウェイオアシス"", ""ブランド:昭和シェル石油"", ""営業時間:24時間営業"", ""サービスタイプ:セルフサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥178   \r\n\t\t\t\t\tハイオク¥189   \r\n\t\t\t\t\t軽油¥154   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥168   \r\n\t\t\t\t\tハイオク¥179   \r\n\t\t\t\t\t軽油¥144   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
セルフ瑞浪SS / 昭洋商事(株),"",岐阜県瑞浪市西小田町5-80,0572672600,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:セルフサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
"","","","",[]
御嵩東SS / (有)桑下勲商店,"",岐阜県可児郡御嵩町美佐野2909,0574-67-3125,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
福富天神SS / (有)森繁商事,"",岐阜県岐阜市福富天神前75,0582291211,"[""ジャンル:その他ガソリンスタンド"", ""ブランド:その他ガソリンスタンド"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
ニュー大野SS / (有)丸金商事,"",岐阜県揖斐郡大野町黒野1848-2,0585-32-0269,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
サンロード下石SS / 石黒商事(株),"",岐阜県土岐市下石町1934-1,0572-58-3022,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""営業時間:24時間営業"", ""サービスタイプ:セルフサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
プラザ笠松SS / (有)エンヤ石油,"",岐阜県羽島郡笠松町米野183,058-387-6166,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
水上SS / 美濃産業(株),"",岐阜県瑞浪市陶町水上157-1,0572652631,"[""ジャンル:その他ガソリンスタンド"", ""ブランド:その他ガソリンスタンド"", ""サービスタイプ:フルサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥167   \r\n\t\t\t\t\tハイオク¥177   \r\n\t\t\t\t\t軽油¥144   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
各務笠原SS / 各務石油(株),"",岐阜県多治見市笠原町平園2610,0572-43-3257,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
奥飛騨SS / 蒲田川工業(株),"",岐阜県高山市奥飛騨温泉郷一重ケ根,0578-89-2070,"[""ジャンル:その他ガソリンスタンド"", ""ブランド:その他ガソリンスタンド"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
【丸紅エネルギー】川合大橋SS / きたちょう,"",岐阜県美濃加茂市牧野1932-75,0574-25-8118,"[""ジャンル:その他ガソリンスタンド"", ""ブランド:その他ガソリンスタンド"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
"","","","",[]
【東海北陸道】ひるがの高原SA上り店 / エネクスフリート(株),"",岐阜県郡上市高鷲町鷲見5245-8,0575-73-2760,"[""ジャンル:SA/PA/ハイウェイオアシス"", ""ブランド:昭和シェル石油"", ""営業時間:24時間営業"", ""サービスタイプ:セルフサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥178   \r\n\t\t\t\t\tハイオク¥189   \r\n\t\t\t\t\t軽油¥154   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥168   \r\n\t\t\t\t\tハイオク¥179   \r\n\t\t\t\t\t軽油¥144   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
ME岩崎SS / 岐阜昭石(株),"",岐阜県岐阜市岩崎897-2,058-237-2700,"[""ジャンル:その他ガソリンスタンド"", ""ブランド:その他ガソリンスタンド"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
セルフ岐阜福寿町SS / 豊通石油販売(株),"",岐阜県羽島市福寿町本郷365-2,058-391-0346,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""営業時間:24時間営業"", ""サービスタイプ:セルフサービス"", ""車検サービス:あり"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥155   \r\n\t\t\t\t\tハイオク¥166   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
セルフ土貴野SS / (有)稲富石油,"",岐阜県本巣市早野125-1,058-323-0527,"[""ジャンル:その他ガソリンスタンド"", ""ブランド:その他ガソリンスタンド"", ""サービスタイプ:セルフサービス"", ""車検サービス:あり"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥162   \r\n\t\t\t\t\tハイオク¥172   \r\n\t\t\t\t\t軽油¥138   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥155   \r\n\t\t\t\t\tハイオク¥165   \r\n\t\t\t\t\t軽油¥131   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
セルフイーストSS / (株)山本石油,"",岐阜県関市東田原173-8,0575222450,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:セルフサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
